NOC,Event,Game_Med_Per
CHN,Basketball Men's Basketball,0
CHN,Judo Men's Extra-Lightweight,0
DEN,Football Men's Football,0.477941176
DEN,Tug-Of-War Men's Tug-Of-War,1
NED,Speed Skating Women's 500 metres,0.025641026
NED,"Speed Skating Women's 1,000 metres",0.186046512
USA,Cross Country Skiing Men's 10 kilometres,0
USA,Cross Country Skiing Men's 50 kilometres,0
USA,Cross Country Skiing Men's 10/15 kilometres Pursuit,0
USA,Cross Country Skiing Men's 4 x 10 kilometres Relay,0
USA,Cross Country Skiing Men's 30 kilometres,0.019607843
NED,Athletics Women's 100 metres,0.04
NED,Athletics Women's 4 x 100 metres Relay,0.090909091
FIN,Ice Hockey Men's Ice Hockey,0.417956656
FIN,Swimming Men's 400 metres Freestyle,0
FIN,Cross Country Skiing Men's 30 kilometres,0.098039216
FIN,Badminton Men's Singles,0
FIN,Sailing Women's Windsurfer,0.2
FIN,Biathlon Women's 7.5 kilometres Sprint,0
FIN,Swimming Men's 200 metres Breaststroke,0.043478261
FIN,Swimming Men's 400 metres Breaststroke,0.25
FIN,Gymnastics Men's Individual All-Around,0.037037037
FIN,Gymnastics Men's Team All-Around,0.642105263
FIN,Gymnastics Men's Floor Exercise,0
FIN,Gymnastics Men's Horse Vault,0.044776119
FIN,Gymnastics Men's Parallel Bars,0.029411765
FIN,Gymnastics Men's Horizontal Bar,0.057971014
FIN,Gymnastics Men's Rings,0
FIN,Gymnastics Men's Pommelled Horse,0.086956522
FIN,Athletics Men's Shot Put,0.1
FIN,"Art Competitions Mixed Sculpturing, Unknown Event",0
NOR,Alpine Skiing Men's Downhill,0.094339623
NOR,Alpine Skiing Men's Super G,0.25
NOR,Alpine Skiing Men's Giant Slalom,0.094339623
NOR,Alpine Skiing Men's Slalom,0.105263158
NOR,Alpine Skiing Men's Combined,0.142857143
NOR,Handball Women's Handball,0.85
ROU,Weightlifting Women's Super-Heavyweight,0
NOR,"Wrestling Men's Light-Heavyweight, Greco-Roman",0
NOR,Speed Skating Men's 500 metres,0.209677419
NOR,"Speed Skating Men's 1,500 metres",0.283950617
NOR,"Gymnastics Men's Team All-Around, Free System",1
NOR,Luge Women's Singles,0
NED,Water Polo Men's Water Polo,0.111764706
NOR,Sailing Mixed Three Person Keelboat,0.230769231
NED,Hockey Women's Hockey,0.888888889
NED,Rowing Men's Lightweight Double Sculls,0.5
EST,Athletics Men's Pole Vault,0
NOR,Athletics Men's High Jump,0.045454545
FIN,Sailing Men's Two Person Dinghy,0
FRA,"Athletics Men's 1,500 metres",0.089285714
NOR,Bobsleigh Men's Four,0
NED,Swimming Men's 100 metres Butterfly,0
NED,Swimming Men's 200 metres Butterfly,0
NED,Swimming Men's 4 x 100 metres Medley Relay,0
NOR,Football Women's Football,0.66
NOR,"Fencing Men's Foil, Individual",0
NOR,"Fencing Men's epee, Individual",0.027027027
NOR,"Fencing Men's epee, Team",0
NOR,"Speed Skating Men's 5,000 metres",0.287671233
NOR,"Speed Skating Men's 10,000 metres",0.257575758
NOR,Football Men's Football,0.205882353
NOR,Sailing Mixed 8 metres,0.769230769
NOR,"Equestrianism Mixed Jumping, Individual",0
EST,Cross Country Skiing Men's 30 kilometres,0
EST,Cross Country Skiing Men's 50 kilometres,0.055555556
EST,Cross Country Skiing Men's 15 kilometres,0.214285714
EST,Cross Country Skiing Men's 4 x 10 kilometres Relay,0
NOR,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0.055555556
NOR,"Shooting Men's Rapid-Fire Pistol, 25 metres",0
NOR,Shooting Men's Trap,0
NOR,Athletics Men's 4 x 100 metres Relay,0
NOR,Athletics Men's Long Jump,0.076923077
MAR,Boxing Men's Light-Welterweight,0
EST,Athletics Women's Javelin Throw,0
EST,"Wrestling Men's Heavyweight, Freestyle",0.333333333
ESP,Gymnastics Men's Individual All-Around,0
ESP,Gymnastics Men's Floor Exercise,0.02173913
ESP,Gymnastics Men's Parallel Bars,0
ESP,Gymnastics Men's Horizontal Bar,0
ESP,Gymnastics Men's Rings,0
ESP,Gymnastics Men's Pommelled Horse,0
FRA,Athletics Men's Pole Vault,0.111111111
EGY,Taekwondo Men's Flyweight,0.333333333
IRI,Boxing Men's Heavyweight,0
ESP,"Athletics Men's 5,000 metres",0
FRA,"Cycling Men's Road Race, Individual",0.091743119
FRA,"Cycling Men's Road Race, Team",0.558139535
BUL,Boxing Men's Light-Welterweight,0.3
BUL,"Cycling Men's Road Race, Individual",0
BUL,"Cycling Men's Road Race, Team",0
BUL,Weightlifting Men's Lightweight,0.428571429
BUL,Weightlifting Men's Middleweight,0.636363636
BUL,Football Men's Football,0.463768116
ITA,Rowing Men's Coxless Pairs,0.137931034
ESP,"Fencing Men's epee, Individual",0.045454545
CHA,Judo Men's Half-Middleweight,0
AZE,Taekwondo Women's Flyweight,1
SUD,Boxing Men's Flyweight,0
RUS,Athletics Women's Javelin Throw,0.111111111
ARG,Swimming Men's 100 metres Butterfly,0
ARG,Swimming Men's 4 x 100 metres Medley Relay,0
ESP,Basketball Women's Basketball,0.255319149
CUB,Diving Men's Platform,0
CUB,"Canoeing Men's Canadian Doubles, 500 metres",0.25
CUB,"Canoeing Men's Canadian Doubles, 1,000 metres",0.166666667
BLR,"Canoeing Men's Kayak Fours, 1,000 metres",0.5
FRA,Handball Men's Handball,0.570093458
ARG,Rowing Women's Coxless Pairs,0
GRE,"Fencing Men's epee, Individual",0
CMR,Football Men's Football,0.36
CMR,Boxing Men's Middleweight,0
TUR,Judo Men's Lightweight,0
CHI,Boxing Men's Featherweight,0
ESP,Water Polo Men's Water Polo,0.12972973
GRE,Football Men's Football,0.183333333
MEX,Tennis Men's Doubles,0
CHI,Shooting Mixed Skeet,0.090909091
USA,"Wrestling Men's Featherweight, Freestyle",0.625
ESP,Sailing Mixed Two Person Heavyweight Dinghy,0.285714286
ESP,"Athletics Men's 1,500 metres",0.103448276
URS,"Wrestling Men's Light-Heavyweight, Greco-Roman",0.888888889
URS,Athletics Women's Shot Put,0.461538462
CHI,Rowing Men's Coxed Eights,0
RUS,Cycling Women's Sprint,0.25
RUS,Cycling Women's 500 metres Time Trial,0
ITA,Athletics Men's 110 metres Hurdles,0.041666667
ITA,Football Men's Football,0.2
CHI,Shooting Mixed Trap,0
GRE,Athletics Women's Marathon,0
NCA,Athletics Men's 100 metres,0
NCA,Athletics Men's High Jump,0
MEX,"Fencing Men's Foil, Individual",0
MEX,"Fencing Men's Foil, Team",0
MEX,"Fencing Men's Sabre, Team",0
HUN,"Fencing Men's Sabre, Team",0.777777778
HUN,Swimming Men's 100 metres Freestyle,0.133333333
HUN,Swimming Men's 4 x 200 metres Freestyle Relay,0.262295082
NGR,Boxing Men's Lightweight,0
EGY,Football Men's Football,0
ITA,Modern Pentathlon Men's Individual,0.071428571
CHA,Athletics Men's 100 metres,0
ALG,Boxing Men's Welterweight,0
ALG,Boxing Men's Middleweight,0.222222222
ITA,Rowing Men's Quadruple Sculls,0.5
ITA,Rowing Men's Double Sculls,0.357142857
ITA,Rowing Men's Coxed Pairs,0.571428571
ITA,Rowing Men's Coxed Eights,0.1875
KUW,Athletics Men's 400 metres Hurdles,0
KUW,Athletics Men's 4 x 100 metres Relay,0
BRN,Athletics Men's 400 metres,0
PAK,Athletics Men's Hammer Throw,0
IRQ,Weightlifting Men's Lightweight,0.2
IRQ,Football Men's Football,0
KUW,Athletics Men's Long Jump,0
PAK,Athletics Men's 400 metres Hurdles,0
UAR,Weightlifting Men's Featherweight,0
EGY,Weightlifting Men's Featherweight,0.3
LIB,Athletics Men's 400 metres,0
LIB,Athletics Men's 800 metres,0
EGY,"Cycling Men's Road Race, Individual",0
EGY,Diving Men's Platform,0.071428571
IRQ,Swimming Men's 100 metres Freestyle,0
PAK,Alpine Skiing Men's Giant Slalom,0
QAT,Weightlifting Men's Middleweight,0
PAK,Hockey Men's Hockey,0.485714286
EGY,Basketball Men's Basketball,0
MAS,Hockey Men's Hockey,0
IRI,Alpine Skiing Women's Slalom,0
IRI,Rowing Women's Single Sculls,0
AZE,Athletics Men's 100 metres,0
AZE,Swimming Men's 50 metres Freestyle,0
AZE,Weightlifting Women's Featherweight,0
ITA,Water Polo Women's Water Polo,0.5
GER,Gymnastics Men's Individual All-Around,0.035087719
NED,Handball Women's Handball,0
ITA,Basketball Men's Basketball,0.162162162
ITA,Figure Skating Men's Singles,0
IRQ,Weightlifting Men's Heavyweight,0
CAN,Sailing Mixed Three Person Keelboat,0.153846154
IRL,"Equestrianism Mixed Three-Day Event, Individual",0
IRL,"Equestrianism Mixed Three-Day Event, Team",0
USA,"Athletics Men's 5,000 metres",0.054794521
AUS,Hockey Men's Hockey,0.5907173
RSA,Hockey Men's Hockey,0
USA,Figure Skating Men's Singles,0.238095238
USA,Figure Skating Mixed Team,1
CAN,"Canoeing Men's Canadian Doubles, 1,000 metres",0.0625
CAN,Sailing Women's Three Person Keelboat,0
USA,"Cycling Women's Road Race, Individual",0.066666667
USA,Golf Women's Individual,0.375
USA,Softball Women's Softball,1
MAR,Archery Women's Individual,0
EGY,"Wrestling Men's Light-Heavyweight, Greco-Roman",0.272727273
EGY,"Wrestling Men's Heavyweight, Greco-Roman",0.2
EGY,Volleyball Men's Volleyball,0
EGY,Handball Men's Handball,0
EGY,Taekwondo Women's Heavyweight,0
EGY,Synchronized Swimming Women's Duet,0
EGY,Synchronized Swimming Women's Team,0
ERI,"Athletics Men's 5,000 metres",0
UAR,Gymnastics Men's Individual All-Around,0
UAR,Gymnastics Men's Team All-Around,0
UAR,Gymnastics Men's Floor Exercise,0
UAR,Gymnastics Men's Horse Vault,0
UAR,Gymnastics Men's Parallel Bars,0
UAR,Gymnastics Men's Horizontal Bar,0
UAR,Gymnastics Men's Rings,0
UAR,Gymnastics Men's Pommelled Horse,0
EGY,"Fencing Men's Foil, Individual",0.027777778
USA,Taekwondo Women's Featherweight,0.666666667
TAN,Athletics Men's Marathon,0
TAN,Athletics Men's 4 x 400 metres Relay,0
FRA,"Athletics Men's 10,000 metres",0.078947368
KUW,Athletics Men's 100 metres,0
JOR,"Athletics Women's 3,000 metres",0
EGY,Diving Women's Platform,0
EGY,"Shooting Men's Air Rifle, 10 metres",0
SUD,Football Men's Football,0
UAR,Football Men's Football,0
EGY,Athletics Men's Marathon,0
UAR,Athletics Men's Long Jump,0
SUD,Boxing Men's Featherweight,0
SUD,Boxing Men's Lightweight,0
SUD,Athletics Men's 200 metres,0
SUD,Athletics Men's 4 x 400 metres Relay,0
EGY,Hockey Men's Hockey,0
UAR,Rowing Men's Coxed Eights,0
EGY,Water Polo Men's Water Polo,0
EGY,"Fencing Men's Foil, Team",0
EGY,"Fencing Men's epee, Team",0
UAR,Water Polo Men's Water Polo,0
EGY,Weightlifting Men's Flyweight,0
EGY,"Wrestling Men's Featherweight, Freestyle",0
EGY,Swimming Men's 100 metres Freestyle,0
EGY,Swimming Men's 100 metres Backstroke,0
UAR,Athletics Men's 100 metres,0
EGY,Weightlifting Men's Light-Heavyweight,0.181818182
UAR,Weightlifting Men's Light-Heavyweight,0
TUN,Handball Men's Handball,0
EGY,"Wrestling Men's Lightweight, Greco-Roman",0
LBA,Athletics Men's 400 metres,0
EGY,Rowing Men's Coxed Eights,0
EGY,"Fencing Men's Sabre, Individual",0
EGY,"Fencing Men's epee, Individual",0
EGY,"Fencing Men's Sabre, Team",0
EGY,Boxing Men's Welterweight,0
UAR,"Fencing Men's Foil, Team",0
EGY,"Wrestling Men's Super-Heavyweight, Greco-Roman",0
EGY,"Shooting Men's Free Pistol, 50 metres",0
EGY,"Shooting Men's Air Pistol, 10 metres",0
EGY,Rowing Men's Coxless Fours,0
EGY,Boxing Men's Light-Flyweight,0
EGY,Boxing Men's Super-Heavyweight,0.333333333
EGY,Gymnastics Men's Individual All-Around,0
EGY,Gymnastics Men's Team All-Around,0
EGY,Gymnastics Men's Floor Exercise,0
EGY,Gymnastics Men's Horse Vault,0
EGY,Gymnastics Men's Parallel Bars,0
EGY,Gymnastics Men's Horizontal Bar,0
EGY,Gymnastics Men's Rings,0
EGY,Gymnastics Men's Pommelled Horse,0
EGY,"Wrestling Men's Flyweight, Greco-Roman",0
EGY,"Shooting Women's Air Rifle, 10 metres",0
EGY,Boxing Men's Lightweight,0
EGY,Judo Men's Half-Middleweight,0
EGY,Weightlifting Men's Middleweight,0.133333333
SUD,"Athletics Men's 1,500 metres",0
EGY,Weightlifting Men's Middle-Heavyweight,0
FRA,"Athletics Men's 5,000 metres",0.081081081
ALG,Football Men's Football,0
EGY,Judo Men's Extra-Lightweight,0
EGY,Athletics Men's Javelin Throw,0
ALG,"Athletics Men's 5,000 metres",0.071428571
ALG,Athletics Men's 800 metres,0.105263158
ALG,Volleyball Women's Volleyball,0
IRI,"Wrestling Men's Welterweight, Greco-Roman",0
IRI,"Wrestling Men's Middleweight, Greco-Roman",0.25
BEL,"Athletics Men's 5,000 metres",0.03125
BEL,"Athletics Men's 10,000 metres",0.047619048
AUS,"Athletics Men's 3,000 metres Steeplechase",0
QAT,"Athletics Men's 3,000 metres Steeplechase",0
DJI,"Athletics Men's 10,000 metres",0
DJI,Athletics Men's Marathon,0.090909091
USA,"Athletics Men's 10,000 metres",0.042857143
USA,Athletics Men's Marathon,0.097345133
AUS,"Wrestling Men's Welterweight, Greco-Roman",0
AUS,"Wrestling Men's Middleweight, Freestyle",0
PLE,Swimming Men's 50 metres Freestyle,0
CAN,Swimming Women's 100 metres Backstroke,0.090909091
CAN,Swimming Women's 200 metres Backstroke,0.173913043
CAN,Swimming Women's 4 x 100 metres Medley Relay,0.238095238
IRI,Football Men's Football,0
CMR,Boxing Men's Lightweight,0.25
COM,Athletics Men's 400 metres,0
CAN,"Wrestling Men's Light-Heavyweight, Freestyle",0
EGY,Modern Pentathlon Men's Individual,0
EGY,Modern Pentathlon Men's Team,0
CHA,Athletics Men's 200 metres,0
CMR,Volleyball Women's Volleyball,0
EGY,Boxing Men's Bantamweight,0
KAZ,Boxing Men's Lightweight,0.2
BRU,Athletics Women's 200 metres,0
IRQ,Athletics Men's 4 x 400 metres Relay,0
KUW,Football Men's Football,0
EGY,Table Tennis Women's Singles,0
EGY,Table Tennis Women's Doubles,0
BRU,Shooting Men's Skeet,0
SUD,Swimming Men's 50 metres Freestyle,0
IND,Athletics Men's 110 metres Hurdles,0
IND,Athletics Men's 400 metres Hurdles,0
KSA,Football Men's Football,0
SYR,Football Men's Football,0
IRQ,Weightlifting Men's Light-Heavyweight,0
KUW,Athletics Men's 200 metres,0
IRQ,Boxing Men's Lightweight,0
QAT,Athletics Men's 4 x 400 metres Relay,0
MDV,Athletics Men's Marathon,0
BRN,Swimming Women's 50 metres Freestyle,0
IRI,Water Polo Men's Water Polo,0
JOR,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0
BRN,"Shooting Men's Rapid-Fire Pistol, 25 metres",0
ETH,"Cycling Men's Road Race, Individual",0
MAS,Athletics Men's 400 metres Hurdles,0
IRQ,Athletics Women's 100 metres,0
IRQ,Athletics Men's Long Jump,0
IRQ,Athletics Men's Triple Jump,0
IRQ,Athletics Men's High Jump,0
IRQ,"Wrestling Men's Flyweight, Greco-Roman",0
UAE,"Shooting Men's Air Rifle, 10 metres",0
YAR,Athletics Men's 800 metres,0
KUW,Swimming Men's 400 metres Freestyle,0
KUW,Swimming Men's 100 metres Butterfly,0
INA,Weightlifting Women's Lightweight,0
NGR,Athletics Men's 100 metres,0
NGR,Athletics Men's 4 x 100 metres Relay,0.14516129
CAN,Athletics Women's Long Jump,0
EGY,"Fencing Women's epee, Individual",0
URS,"Wrestling Men's Featherweight, Freestyle",0.555555556
PHI,Swimming Men's 100 metres Freestyle,0
PHI,Swimming Men's 200 metres Freestyle,0
PHI,Swimming Men's 4 x 100 metres Freestyle Relay,0
PHI,Swimming Men's 4 x 200 metres Freestyle Relay,0
PHI,Swimming Men's 4 x 100 metres Medley Relay,0
IRQ,Boxing Men's Welterweight,0
QAT,"Athletics Men's 10,000 metres",0
EGY,Swimming Men's 200 metres Butterfly,0
USA,Rowing Men's Double Sculls,0.5
IRQ,Weightlifting Men's Middle-Heavyweight,0
UAE,Swimming Men's 4 x 100 metres Freestyle Relay,0
UAE,Swimming Men's 4 x 200 metres Freestyle Relay,0
UAE,Swimming Men's 100 metres Backstroke,0
UAE,Swimming Men's 200 metres Backstroke,0
UAE,Swimming Men's 200 metres Individual Medley,0
UAE,Swimming Men's 4 x 100 metres Medley Relay,0
UAE,Athletics Men's 100 metres,0
IRQ,Athletics Men's Pole Vault,0
MAS,Swimming Men's 200 metres Individual Medley,0
MAS,Swimming Men's 400 metres Individual Medley,0
MAS,Swimming Men's 4 x 100 metres Medley Relay,0
SGP,Badminton Women's Singles,0
SUD,Boxing Men's Light-Middleweight,0
SUD,Boxing Men's Middleweight,0
NGR,Tennis Men's Singles,0
AZE,Boxing Men's Heavyweight,0.25
AZE,"Wrestling Men's Bantamweight, Freestyle",0.5
AZE,"Wrestling Men's Featherweight, Freestyle",0.25
UZB,Boxing Men's Lightweight,0
UZB,Boxing Men's Light-Welterweight,0.5
UZB,"Wrestling Men's Super-Heavyweight, Greco-Roman",0
AZE,"Wrestling Men's Flyweight, Freestyle",1
AZE,"Athletics Women's 5,000 metres",0
AZE,"Wrestling Men's Middleweight, Greco-Roman",0.2
KUW,Swimming Men's 100 metres Freestyle,0
EGY,Weightlifting Women's Light-Heavyweight,0.25
EGY,Weightlifting Women's Heavyweight,0
UAE,Football Men's Football,0
KUW,Athletics Men's Discus Throw,0
KUW,Athletics Men's 110 metres Hurdles,0
IRQ,Boxing Men's Middleweight,0
EGY,Weightlifting Men's Lightweight,0.375
USA,Basketball Men's Basketball,1
UZB,Boxing Men's Middleweight,0.333333333
KGZ,Taekwondo Men's Featherweight,0
KGZ,Taekwondo Men's Welterweight,0
UZB,"Wrestling Men's Middleweight, Freestyle",0.2
TJK,Judo Men's Heavyweight,0
RUS,Boxing Men's Lightweight,0.75
TJK,"Wrestling Men's Middleweight, Freestyle",0
TJK,"Wrestling Men's Light-Heavyweight, Freestyle",0.333333333
LBA,Cycling Men's Sprint,0
EUN,Athletics Men's Hammer Throw,1
UZB,Athletics Men's Hammer Throw,0
URS,"Cycling Men's Road Race, Individual",0.085714286
UZB,"Cycling Men's Road Race, Individual",0
KGZ,Boxing Men's Bantamweight,0
JPN,Athletics Men's Hammer Throw,0.086956522
JPN,Bobsleigh Men's Two,0
JPN,Bobsleigh Men's Four,0
JPN,"Wrestling Men's Lightweight, Freestyle",0.411764706
JPN,"Fencing Men's Foil, Individual",0.028571429
JPN,"Wrestling Men's Featherweight, Freestyle",0.5
JPN,Nordic Combined Men's Team,0.206896552
JPN,Nordic Combined Men's Individual,0.018518519
JPN,Athletics Men's 4 x 100 metres Relay,0.126984127
JPN,Athletics Men's Long Jump,0.068965517
JPN,Rowing Men's Coxed Pairs,0
JPN,Basketball Men's Basketball,0
JPN,Baseball Men's Baseball,0.571428571
JPN,"Wrestling Men's Bantamweight, Freestyle",0.461538462
JPN,Rowing Men's Coxed Fours,0
JPN,Rowing Men's Coxed Eights,0
JPN,Hockey Men's Hockey,0.174603175
JPN,"Cycling Women's Road Race, Individual",0
JPN,"Cycling Men's Road Race, Individual",0
JPN,Football Men's Football,0.104575163
CGO,Handball Women's Handball,0
ETH,"Athletics Men's 5,000 metres",0.24137931
ETH,"Athletics Men's 10,000 metres",0.451612903
ETH,Cycling Men's 100 kilometres Team Time Trial,0
ALG,Boxing Men's Flyweight,0
EGY,Archery Women's Individual,0
IRI,"Fencing Men's Sabre, Individual",0
SUI,Football Men's Football,0.348837209
BRA,Volleyball Men's Volleyball,0.436363636
ESP,Rhythmic Gymnastics Women's Group,0.314285714
BRA,Football Men's Football,0.495098039
GER,"Art Competitions Mixed Architecture, Designs For Town Planning",0.2
GER,"Art Competitions Mixed Architecture, Architectural Designs",0.125
USA,Synchronized Swimming Women's Team,0.513513514
USA,Ice Hockey Men's Ice Hockey,0.440806045
CAN,Ice Hockey Men's Ice Hockey,0.671195652
FRG,Nordic Combined Men's Individual,0.090909091
GDR,Gymnastics Women's Individual All-Around,0.066666667
GDR,Gymnastics Women's Team All-Around,1
GDR,Gymnastics Women's Floor Exercise,0.033333333
GDR,Gymnastics Women's Horse Vault,0.166666667
GDR,Gymnastics Women's Uneven Bars,0.2
GDR,Gymnastics Women's Balance Beam,0.033333333
CAN,Diving Women's Springboard,0.090909091
CAN,Diving Women's Synchronized Springboard,0.25
GER,Gymnastics Women's Individual All-Around,0
GER,Gymnastics Women's Team All-Around,0.16
GER,Gymnastics Women's Floor Exercise,0
GER,Gymnastics Women's Uneven Bars,0.023255814
GER,Gymnastics Women's Balance Beam,0
ESP,"Athletics Women's 10,000 metres",0
ESP,Athletics Women's Marathon,0
MON,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",0
MON,"Shooting Men's Rapid-Fire Pistol, 25 metres",0
MON,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",0
NOR,Sailing Mixed 7 metres,1
CUB,Judo Women's Half-Middleweight,0.142857143
ESP,Football Men's Football,0.317073171
GER,Athletics Men's Decathlon,0.093023256
ISR,Gymnastics Women's Individual All-Around,0
ISR,Gymnastics Women's Floor Exercise,0
ISR,Gymnastics Women's Horse Vault,0
ISR,Gymnastics Women's Uneven Bars,0
ISR,Gymnastics Women's Balance Beam,0
USA,Rowing Men's Coxed Eights,0.66359447
MEX,Football Men's Football,0.095808383
URU,Water Polo Men's Water Polo,0
ARG,Biathlon Men's 10 kilometres Sprint,0
ARG,Biathlon Men's 20 kilometres,0
ARG,Biathlon Men's 4 x 7.5 kilometres Relay,0
ESP,Athletics Men's Marathon,0
CMR,Athletics Women's 4 x 100 metres Relay,0
ETH,Athletics Men's Marathon,0.216216216
ARG,Rowing Men's Coxed Fours,0
ARG,Rowing Men's Coxed Eights,0
SWE,Athletics Men's Hammer Throw,0.090909091
SWE,Freestyle Skiing Men's Moguls,0
SWE,Athletics Men's Long Jump,0.103448276
SWE,Athletics Men's Triple Jump,0.258064516
SWE,Swimming Women's 50 metres Freestyle,0.066666667
FIN,"Wrestling Men's Middleweight A, Greco-Roman",0.142857143
SWE,Athletics Women's Discus Throw,0.125
SWE,"Athletics Men's 1,500 metres",0.088235294
MAR,Football Men's Football,0
ISV,Luge Women's Singles,0
USA,Baseball Men's Baseball,0.772727273
RSA,Swimming Women's 4 x 100 metres Freestyle Relay,0.666666667
RSA,Swimming Women's 100 metres Backstroke,0.285714286
ALG,Handball Men's Handball,0
SUI,Alpine Skiing Women's Slalom,0.087719298
ITA,Athletics Men's 200 metres,0.078947368
TUR,"Athletics Women's 1,500 metres",0.4
TUR,"Athletics Women's 5,000 metres",0.125
TUR,"Athletics Women's 10,000 metres",0
SRI,"Shooting Women's Air Pistol, 10 metres",0
SRI,"Shooting Women's Sporting Pistol, 25 metres",0
SRI,Swimming Men's 100 metres Freestyle,0
ARM,Boxing Men's Flyweight,0
CIV,"Canoeing Men's Kayak Doubles, 500 metres",0
CIV,"Canoeing Men's Kayak Singles, 500 metres",0
CIV,"Canoeing Men's Kayak Singles, 1,000 metres",0
ESP,Badminton Men's Singles,0
FRA,"Shooting Men's Running Target, 50 metres",0
GDR,Diving Women's Platform,0.181818182
TUN,Football Men's Football,0
NGR,Athletics Men's 800 metres,0
NGR,"Athletics Men's 1,500 metres",0
KAZ,Judo Women's Half-Heavyweight,0
JPN,Athletics Men's 4 x 400 metres Relay,0
JPN,Athletics Women's Pole Vault,0
KEN,Rugby Sevens Women's Rugby Sevens,0
BUL,"Wrestling Men's Middleweight, Freestyle",0.333333333
FRA,Football Women's Football,0
NGR,Athletics Women's 4 x 100 metres Relay,0.236842105
NGR,Table Tennis Men's Team,0
BEN,Boxing Men's Bantamweight,0
FRA,Figure Skating Mixed Pairs,0.230769231
RUS,"Athletics Women's 10,000 metres",0
AZE,Boxing Men's Light-Flyweight,0
BRA,Water Polo Women's Water Polo,0
UKR,Freestyle Skiing Men's Aerials,0
GBR,Water Polo Men's Water Polo,0.29787234
USA,Athletics Men's 4 x 400 metres Relay,0.903846154
RUS,Gymnastics Men's Team All-Around,0.514285714
RUS,Gymnastics Men's Floor Exercise,0.137931034
RUS,Gymnastics Men's Horse Vault,0.25
RUS,Gymnastics Men's Parallel Bars,0.066666667
RUS,Gymnastics Men's Horizontal Bar,0.071428571
RUS,Gymnastics Men's Rings,0.034482759
NED,Rowing Women's Coxed Eights,0.625
GHA,Football Men's Football,0.204081633
NGR,Athletics Women's 4 x 400 metres Relay,0.133333333
URS,Swimming Men's 400 metres Freestyle,0.222222222
URS,Swimming Men's 4 x 100 metres Freestyle Relay,0.761904762
URS,Swimming Men's 4 x 200 metres Freestyle Relay,0.613636364
URS,Swimming Men's 4 x 100 metres Medley Relay,0.52173913
SOM,Athletics Men's 800 metres,0
SOM,"Athletics Men's 1,500 metres",0
LAT,Alpine Skiing Women's Giant Slalom,0
LAT,Alpine Skiing Women's Super G,0
LAT,Alpine Skiing Women's Slalom,0
MDV,Athletics Men's 4 x 100 metres Relay,0
AUS,Swimming Men's 50 metres Freestyle,0
AUS,Swimming Men's 4 x 100 metres Freestyle Relay,0.537037037
ESP,Cross Country Skiing Women's 5 kilometres,0
ESP,Cross Country Skiing Women's 10 kilometres,0
ESP,Cross Country Skiing Women's 20 kilometres,0
CMR,Athletics Men's 400 metres Hurdles,0
CMR,Athletics Men's 4 x 400 metres Relay,0
LIB,"Cycling Men's Road Race, Individual",0
LIB,Cycling Men's Sprint,0
LIB,"Cycling Men's 1,000 metres Time Trial",0
LIB,"Cycling Men's Individual Pursuit, 4,000 metres",0
LIB,"Wrestling Men's Welterweight, Freestyle",0
EGY,"Wrestling Men's Bantamweight, Greco-Roman",0.125
SYR,Athletics Men's 400 metres Hurdles,0
IRQ,Boxing Men's Light-Flyweight,0
NIG,Athletics Men's Marathon,0
QAT,Athletics Men's Triple Jump,0
IRQ,Boxing Men's Bantamweight,0
LBA,Athletics Men's Triple Jump,0
IRQ,"Wrestling Men's Bantamweight, Freestyle",0
LIB,Alpine Skiing Men's Giant Slalom,0
LIB,Alpine Skiing Men's Slalom,0
MLI,Football Men's Football,0
AFG,Hockey Men's Hockey,0
NGR,Athletics Men's 110 metres Hurdles,0
USA,Handball Women's Handball,0
ROU,Gymnastics Men's Individual All-Around,0
ROU,Gymnastics Men's Team All-Around,0.074074074
ROU,Gymnastics Men's Floor Exercise,0.0125
ROU,Gymnastics Men's Horse Vault,0.013333333
ROU,Gymnastics Men's Parallel Bars,0
ROU,Gymnastics Men's Horizontal Bar,0.012345679
ROU,Gymnastics Men's Rings,0.025316456
ROU,Gymnastics Men's Pommelled Horse,0.0375
HUN,"Canoeing Men's Kayak Doubles, 500 metres",0.25
HUN,"Canoeing Men's Kayak Fours, 1,000 metres",0.538461538
GER,Gymnastics Men's Team All-Around,0.130841121
GBR,Swimming Men's 100 metres Backstroke,0.018181818
GBR,Swimming Men's 4 x 100 metres Medley Relay,0.144927536
GBR,Swimming Men's 100 metres Butterfly,0.037037037
CHI,Rowing Women's Lightweight Double Sculls,0
SUI,Athletics Men's Marathon,0
IND,Athletics Women's 800 metres,0
IND,Athletics Women's 4 x 400 metres Relay,0
POL,Rowing Women's Coxed Quadruple Sculls,0
SWE,"Wrestling Men's Middleweight, Greco-Roman",0.346153846
SWE,"Wrestling Men's Light-Heavyweight, Greco-Roman",0.458333333
CRC,Athletics Men's 100 metres,0
CRC,Athletics Men's 200 metres,0
PAN,Athletics Men's 100 metres,0.25
PAN,Athletics Men's 200 metres,0.2
GBR,Athletics Men's 100 metres,0.085106383
GBR,Athletics Men's 200 metres,0.074074074
GBR,Athletics Men's 4 x 100 metres Relay,0.302083333
