NOC,Event,Gam_Med_Bro,Gam_Med_Sil,Gam_Med_Gol,Gam_Med_Non
ESP,"Fencing Men's epee, Individual",1,0,0,21
CHA,Judo Men's Half-Middleweight,0,0,0,1
AZE,Taekwondo Women's Flyweight,1,0,0,0
SUD,Boxing Men's Flyweight,0,0,0,1
RUS,Athletics Women's Javelin Throw,0,1,0,8
ARG,Swimming Men's 100 metres Butterfly,0,0,0,6
ARG,Swimming Men's 4 x 100 metres Medley Relay,0,0,0,12
ESP,Basketball Women's Basketball,0,12,0,35
CUB,Diving Men's Platform,0,0,0,10
CUB,"Canoeing Men's Canadian Doubles, 500 metres",0,2,0,6
CUB,"Canoeing Men's Canadian Doubles, 1,000 metres",0,2,0,10
BLR,"Canoeing Men's Kayak Fours, 1,000 metres",0,0,4,4
FRA,Handball Men's Handball,16,15,30,46
ARG,Rowing Women's Coxless Pairs,0,0,0,4
GRE,"Fencing Men's epee, Individual",0,0,0,28
CMR,Football Men's Football,0,0,18,32
CMR,Boxing Men's Middleweight,0,0,0,6
TUR,Judo Men's Lightweight,0,0,0,6
CHI,Boxing Men's Featherweight,0,0,0,4
ESP,Water Polo Men's Water Polo,0,12,12,161
GRE,Football Men's Football,11,0,0,49
MEX,Tennis Men's Doubles,0,0,0,12
CHI,Shooting Mixed Skeet,0,1,0,10
USA,"Wrestling Men's Featherweight, Freestyle",4,6,10,12
ESP,Sailing Mixed Two Person Heavyweight Dinghy,0,0,4,10
ESP,"Athletics Men's 1,500 metres",1,1,1,26
URS,"Wrestling Men's Light-Heavyweight, Greco-Roman",2,3,3,1
URS,Athletics Women's Shot Put,3,3,6,14
CHI,Rowing Men's Coxed Eights,0,0,0,9
RUS,Cycling Women's Sprint,0,2,0,6
RUS,Cycling Women's 500 metres Time Trial,0,0,0,3
ITA,Athletics Men's 110 metres Hurdles,1,0,0,23
ITA,Football Men's Football,34,0,14,192
CHI,Shooting Mixed Trap,0,0,0,5
GRE,Athletics Women's Marathon,0,0,0,7
NCA,Athletics Men's 100 metres,0,0,0,3
NCA,Athletics Men's High Jump,0,0,0,1
MEX,"Fencing Men's Foil, Individual",0,0,0,16
MEX,"Fencing Men's Foil, Team",0,0,0,9
MEX,"Fencing Men's Sabre, Team",0,0,0,13
HUN,"Fencing Men's Sabre, Team",15,16,60,26
HUN,Swimming Men's 100 metres Freestyle,1,3,2,39
HUN,Swimming Men's 4 x 200 metres Freestyle Relay,8,8,0,45
NGR,Boxing Men's Lightweight,0,0,0,8
EGY,Football Men's Football,0,0,0,142
ITA,Modern Pentathlon Men's Individual,2,1,1,52
CHA,Athletics Men's 100 metres,0,0,0,4
ALG,Boxing Men's Welterweight,0,0,0,5
ALG,Boxing Men's Middleweight,2,0,0,7
ITA,Rowing Men's Quadruple Sculls,4,4,8,16
ITA,Rowing Men's Double Sculls,4,4,2,18
ITA,Rowing Men's Coxed Pairs,0,12,12,18
ITA,Rowing Men's Coxed Eights,9,18,0,117
KUW,Athletics Men's 400 metres Hurdles,0,0,0,4
KUW,Athletics Men's 4 x 100 metres Relay,0,0,0,4
BRN,Athletics Men's 400 metres,0,0,0,2
PAK,Athletics Men's Hammer Throw,0,0,0,5
IRQ,Weightlifting Men's Lightweight,1,0,0,4
IRQ,Football Men's Football,0,0,0,80
KUW,Athletics Men's Long Jump,0,0,0,1
PAK,Athletics Men's 400 metres Hurdles,0,0,0,9
UAR,Weightlifting Men's Featherweight,0,0,0,2
EGY,Weightlifting Men's Featherweight,1,1,1,7
LIB,Athletics Men's 400 metres,0,0,0,2
LIB,Athletics Men's 800 metres,0,0,0,3
EGY,"Cycling Men's Road Race, Individual",0,0,0,6
EGY,Diving Men's Platform,0,1,0,13
IRQ,Swimming Men's 100 metres Freestyle,0,0,0,1
PAK,Alpine Skiing Men's Giant Slalom,0,0,0,2
QAT,Weightlifting Men's Middleweight,0,0,0,1
