NOC,Year,Ath_Cnt
KOR,1948,48
KOR,1956,22
KOR,1968,240
KOR,1972,43
CAM,1964,15
PRK,1976,40
KOR,1992,551
KOR,1976,11
KOR,1996,417
KOR,1960,49
KOR,2008,329
KOR,2010,84
PRK,2008,66
PRK,2012,57
PRK,1992,15
PRK,1964,20
KOR,2004,344
KOR,2002,87
KOR,2006,85
CHN,2006,146
CHN,1998,88
CHN,2002,108
CHN,1996,438
MOZ,2000,4
GRE,1924,79
BRU,2004,1
SOL,1996,4
BLR,2002,123
BLR,2006,70
ROU,1956,25
ROU,1960,156
GRE,1992,76
GRE,1994,15
GRE,1998,16
YUG,1984,154
ECU,1968,41
CRO,2004,100
ARG,1960,14
AUT,1972,68
AUT,1900,26
DEN,1906,68
NOR,1928,34
DEN,1932,94
DEN,1936,173
DEN,1992,144
DEN,2016,143
DEN,1960,109
NOR,1900,29
NOR,1906,55
DEN,2004,115
DEN,1924,158
NOR,1968,107
NOR,1972,114
NOR,1948,75
DEN,1964,3
NOR,2010,190
DEN,1976,81
DEN,1968,71
DEN,2008,108
NOR,1936,47
DEN,2012,149
NOR,1976,81
DEN,1984,74
IRL,1964,35
GUM,1988,5
BIZ,1968,7
NZL,1988,9
NZL,1992,112
NZL,1996,129
CAN,1980,86
CAN,1998,208
GUA,1976,28
AUS,1968,224
CAN,1960,75
CAN,1984,91
CAN,1908,148
GBR,1900,146
LAT,1936,33
SWE,1948,70
SWE,1906,95
SWE,1936,38
RSA,1952,109
COL,2004,71
KEN,2012,51
GDR,1984,105
JPN,2006,190
JPN,2010,153
SEN,1972,40
COL,1960,23
CPV,1996,3
CPV,2016,5
URU,1924,40
URU,1928,17
ESP,1994,33
ESP,1998,24
HUN,1948,222
MRI,1984,7
POR,2000,64
NED,1948,187
ROU,2010,49
ROU,1964,156
ROU,1964,31
ROU,1988,172
POL,2016,289
LAT,2006,92
SUI,1928,43
CYP,1996,24
POR,1936,26
ISL,1992,42
ISV,1976,26
IRL,2012,76
MAD,1972,13
MAD,2004,8
MAD,2008,6
MAD,1980,18
GRE,1920,98
ROU,1992,306
LAT,1936,36
LUX,1960,117
CZE,2004,171
CZE,2000,162
TCH,1964,187
CAN,1968,194
MGL,2004,21
MGL,2012,32
AUT,1928,113
POL,1964,240
DOM,2016,30
IND,2000,70
LUX,1972,15
LUX,1948,115
LUX,1952,101
KEN,1956,31
ITA,2010,208
BUL,2014,47
BUL,1996,181
CRT,1906,93
PHI,2008,17
SGP,1984,14
SGP,1988,27
ARG,1984,37
BUL,1936,11
HON,1988,18
HON,1996,7
ITA,1936,48
GRE,2014,13
AUS,1924,29
BUL,2000,150
BUL,1964,19
BUL,1936,85
BUL,1952,179
ITA,1984,117
FRG,1988,155
IRL,1928,44
CHI,2006,15
YUG,1968,130
SLO,2012,78
AZE,1998,4
URS,1956,81
GHA,2004,29
LUX,1964,27
INA,1992,51
POR,1984,48
YUG,1964,123
TCH,1924,182
LAT,2010,81
YUG,1960,185
PUR,1952,23
BEL,1984,86
JPN,1932,10
SUD,1988,8
LTU,1924,13
AHO,1968,5
SUI,1996,172
SUI,2000,138
NZL,1964,88
NZL,1968,65
PLW,2012,5
BEL,1908,99
GEQ,1992,8
LIB,2006,7
HUN,2012,201
HUN,2016,204
ROU,1994,48
ROU,1998,29
ROU,2002,41
ROU,2006,53
BOL,1992,12
SAA,1952,93
IND,1952,94
GUY,1980,10
IND,1960,49
YUG,1956,9
IND,2012,95
KAZ,1998,114
AZE,2010,4
TCH,1956,161
POL,2014,149
ROU,2004,193
POL,1928,146
YUG,1928,86
JAM,1996,69
ITA,2002,198
AUT,1988,96
GRE,1912,77
FRG,1972,122
AND,2002,5
AND,2006,10
HUN,1908,107
TCH,1928,147
CZE,2008,158
CZE,2012,159
CZE,2016,135
EST,1924,47
POL,1952,42
IRI,1968,96
AFG,1964,8
GRE,1960,59
ITA,1972,69
CHN,2008,730
LAO,2004,5
JPN,1952,25
JPN,1952,133
LIB,1964,8
COL,1956,47
HUN,1906,99
BEN,2016,6
LAT,1992,40
ROU,1984,35
BRA,1998,1
BEL,1988,9
BEL,1992,85
BEL,1996,81
BEL,2000,94
AUT,1992,121
AUT,1948,84
ANT,1992,18
URU,2016,17
RSA,2012,145
LAT,1924,5
MLT,2000,7
DOM,1992,32
GUA,1988,37
CUB,1956,24
TKM,2008,10
LAT,2008,53
BOL,1992,8
BOL,1988,8
COL,1996,62
CHI,1996,24
COL,1968,70
COL,1964,40
COL,1984,48
KAZ,2010,100
ISL,1988,10
MOZ,1988,12
GRE,1936,64
GRE,1948,97
GRE,1952,54
CHI,2012,44
FRA,1960,55
FRA,1964,50
INA,1996,45
CAN,1968,111
NZL,1936,9
YUG,1924,15
GUY,1960,6
TTO,1968,25
TTO,1984,23
GBR,1936,40
NZL,1980,7
CAN,1906,4
NZL,1972,112
CAN,1932,31
IRL,2004,55
IRL,2008,63
PUR,1988,17
THA,2008,53
THA,2012,43
TCH,1920,182
LTU,2014,20
SUI,1960,40
THA,1964,67
LUX,1988,5
LUX,2000,9
LAT,2016,33
AND,1976,11
CYP,1980,15
GUA,2004,19
GUA,2008,13
ECU,1980,16
ESA,2008,14
NCA,1968,16
DOM,2012,36
PER,1996,33
ESP,1948,12
ESP,1952,11
ESP,1956,12
ESP,1960,12
AND,2016,4
ISR,1964,13
INA,1956,24
TUR,1928,40
CYP,1984,10
CYP,1988,11
CYP,1992,19
THA,1972,37
PER,2012,16
THA,1960,24
GRE,1984,13
GBS,2000,3
HAI,1924,16
ROU,1924,45
TTO,2008,35
TTO,1972,36
GBR,1988,95
GBR,1992,90
CAN,1924,85
IRL,1960,63
HUN,2008,216
ISL,1948,27
ISL,2008,31
ISL,2012,36
ISL,1984,10
IVB,1988,4
BRA,2002,10
BRA,2006,12
CAN,1956,7
AUT,1998,154
AUT,1906,100
ISL,1994,14
ISL,1998,12
AUS,1952,19
FIN,1908,94
ISR,2012,56
TUN,2000,47
FRA,1972,69
VEN,1976,56
AFG,1972,8
DOM,2004,33
CHI,2004,29
CRC,2004,21
BOL,1972,14
PUR,2008,31
ARG,2002,26
MRI,2012,11
LIB,1992,31
LIB,1984,30
LAT,1994,42
RSA,1948,43
MDA,2012,20
UKR,1998,104
CYP,2016,21
URS,1972,118
JPN,1964,85
ISR,2004,46
PAN,1972,8
GEO,2000,47
GEO,2004,39
KEN,1968,50
JPN,1956,26
BOL,1968,4
BOL,1984,13
BOL,1980,8
FRG,1968,137
GDR,1972,69
GDR,1976,97
AUT,1936,72
SUI,2008,116
ISL,2014,11
ISL,1948,8
ZIM,2004,14
FIJ,1984,26
FIJ,1988,26
NZL,1952,20
GRN,2004,5
SUR,1988,10
SUR,1992,9
NOR,2014,219
TUR,1992,54
TUR,1936,10
AUS,1956,17
ERI,2000,3
JPN,1928,10
CAN,1948,188
AUT,1994,130
LAT,2002,68
AUT,1952,74
AUT,1956,8
CAN,1994,149
GEQ,1996,8
PHI,1952,28
PHI,1984,32
THA,1968,46
THA,1976,62
SOL,1984,3
SOL,1992,1
CHI,1968,25
BUL,1952,19
BUL,1984,33
CMR,2004,19
TKM,1996,7
TKM,2000,8
TCH,1952,218
GUY,1972,4
COM,2016,4
BAR,1988,26
GUM,2012,8
RSA,1924,44
RSA,1928,40
HUN,1956,6
MLT,2008,6
LBA,2016,7
FRA,1984,57
SEN,1988,35
SEN,1992,25
HKG,2012,55
HKG,2008,47
HKG,2016,47
HKG,1988,91
HKG,1992,66
GAB,2012,21
ESP,2006,28
RSA,1960,72
CAN,1948,47
ITA,1980,74
AUT,1980,92
AUT,1984,130
LCA,2016,5
TCH,1936,293
MOZ,2016,8
TCH,1976,90
HAI,2008,7
MAD,2000,13
MRI,2000,26
FSM,2016,5
IVB,1996,11
SAM,1984,9
MYA,2012,6
EST,2000,41
SEY,2004,10
AUT,1960,198
AUT,1976,73
SCG,2004,96
PNG,1988,15
ESA,1988,7
ARG,1956,13
ISR,2000,58
ISR,2008,60
HON,1984,26
GUA,1992,41
MGL,1988,12
GRE,1972,66
ARM,1996,38
ARM,2000,26
MYA,1956,12
CIV,1988,29
KEN,2000,59
ISL,1972,30
LIB,1984,8
TUN,1964,12
TUN,1968,8
TUN,2004,64
TUR,2006,17
TUR,2010,9
MYA,1972,19
CIV,1972,13
CIV,1976,11
MAW,1984,23
MAW,1988,22
TOG,2016,5
GBR,1956,69
PER,1980,38
TUR,1976,19
AFG,1968,5
ARG,1932,47
JPN,2002,203
POR,1956,13
AFG,2004,5
AFG,2008,4
AFG,2012,6
ARM,2006,9
MAR,2010,2
SEN,2012,32
CHN,2014,109
MTN,2016,2
SEN,2008,17
SEN,1976,33
CHN,1984,323
YEM,2016,3
CAN,1936,41
SEN,1984,29
NED,1968,26
NED,1972,26
MGL,2000,23
SVK,2004,84
ZAM,1964,15
SVK,2010,107
SVK,2002,79
YUG,1992,60
BIH,1994,12
SLO,2004,102
CRO,2016,93
PNG,1992,19
IND,1972,43
COD,2004,6
SVK,2006,114
SVK,1994,67
SEY,1996,9
ITA,1924,24
POL,1972,66
POL,1976,93
LIB,2012,10
AUS,1936,39
FIN,1928,27
USA,1936,74
USA,1906,81
HUN,1932,16
USA,1928,45
SEN,1980,39
SEN,2004,21
MGL,1992,32
HUN,1928,219
MGL,2008,31
RHO,1960,12
KOR,1984,38
KOR,1988,56
KOR,2000,359
KOR,2012,312
BEL,1968,106
BEL,1972,106
PUR,1960,29
MLI,1968,2
MLI,2008,17
LTU,1992,4
CAN,1932,53
GAB,2008,4
GUI,1988,7
GUI,1992,11
GUI,2000,6
ECU,2008,26
MAR,1976,9
MAS,2004,38
ETH,1956,30
TPE,1996,107
STP,1996,2
NEP,2004,6
GER,1932,23
GER,1936,67
TTO,1964,18
ANT,2004,5
ANT,2008,5
ANT,2012,4
ANT,2016,9
UKR,1994,60
YUG,1984,115
SVK,1998,64
SVK,2014,115
CGO,1996,5
CGO,2000,5
CGO,2004,5
CGO,2008,5
CGO,2012,7
YUG,1952,194
USA,1948,97
CAY,1988,12
CZE,2010,172
CZE,2014,179
CZE,1996,169
AFG,2016,3
MGL,1972,44
MGL,1976,33
POL,2004,224
NED,1936,227
COD,1984,9
YUG,1936,173
MKD,2016,6
SYR,1968,2
MDA,2010,11
CZE,2002,163
CZE,2006,170
HUN,1936,29
SVK,2016,63
SVK,1996,98
TCH,1932,28
TCH,1948,153
POL,2000,240
MGL,1964,40
BOL,2012,5
PER,1956,10
BOH,1912,142
GRE,2002,17
IRL,1968,57
IRL,1972,84
NOR,1932,8
VIN,1996,12
VIN,2000,4
FRA,1928,47
HUN,1998,24
HUN,2002,46
BOT,1996,7
BOT,1984,8
BOT,2008,11
TCH,1948,74
TCH,1952,27
ZIM,1988,47
TGA,2014,1
TOG,2000,3
ARG,2014,20
IRI,1968,12
IRI,1972,12
ZAM,1980,43
ZIM,2008,16
DEN,1980,60
ITA,1900,36
GUI,2016,5
GUI,1968,15
SLE,2004,2
GRE,1908,49
DEN,1988,130
GUM,1988,1
IND,1920,7
KAZ,1994,71
MON,2012,6
LIE,1972,12
CHN,1936,65
CHN,1980,38
CHN,1984,70
VEN,1972,33
LCA,1996,8
ISR,1976,34
ISR,1968,39
HON,1968,6
ECU,2000,11
CHI,2010,10
CHI,2014,14
HON,2004,5
POL,1996,207
POL,1956,118
BEL,1900,100
KEN,2004,46
PUR,1948,9
CAY,1992,13
CAY,1996,9
FIJ,2016,53
SYR,2012,10
LIB,2016,9
SEY,2000,9
GBR,1980,76
GBR,1984,78
ZIM,1964,33
AND,1996,8
AUS,1994,47
AUS,1998,34
HUN,1928,16
BER,1948,28
BER,1952,12
FRA,1906,174
URU,1996,15
URU,2000,17
PAR,2004,22
LTU,1998,18
LTU,2002,21
GEQ,2000,4
GUA,1952,35
MNE,2012,34
MNE,2016,35
IVB,1984,13
AUS,1906,10
RSA,2004,128
COD,1968,8
ANT,1996,19
ANT,2000,4
CHI,1972,13
CRC,1964,2
GUY,1984,12
MON,1920,7
MON,1928,12
MON,1968,2
MON,1972,5
MON,1976,10
CHI,2002,11
POR,1948,65
PER,2008,13
IRL,1924,60
BAH,1972,25
CUB,1928,1
IRL,2010,7
GUA,2016,25
ISV,2008,8
GUI,2008,5
IRL,1956,12
GUI,2012,4
SVK,2008,67
SVK,2012,65
GBR,1972,71
HUN,1960,4
LUX,1956,27
GRN,1984,6
GRN,2008,9
ANG,1988,33
TCH,1932,17
RSA,1932,20
TCH,1972,61
POL,1932,28
PNG,2016,8
AUS,1932,20
NZL,2014,18
GUY,2012,6
CHI,1920,2
BOT,2004,12
TKM,2004,10
BOT,2000,9
NEP,1988,20
NEP,1980,10
ZIM,2016,31
GAM,2016,4
SKN,1996,14
SKN,2000,4
CGO,1972,8
BEL,1936,37
SLO,2016,70
MGL,1994,2
BAR,1972,20
SCG,1996,79
BUL,1998,34
BUL,2002,54
PAN,1996,9
PAN,2000,7
LIE,1988,19
COM,2000,2
MON,1960,13
MON,1988,9
MON,1964,1
GBR,1896,25
SMR,1976,10
MGL,1998,3
MGL,2002,4
AUT,1996,92
GER,1928,51
SLO,2006,96
SLO,2010,107
SLO,2014,116
HUN,1900,34
TCH,1960,202
BEL,1948,19
SUI,1896,8
PAR,1996,7
AUT,2010,132
LAT,1928,24
LAT,1932,13
SOL,1988,5
BEL,1928,26
MYA,1964,12
MGL,1968,38
MGL,1996,18
UGA,2008,11
BAR,1984,25
TAN,2008,9
TAN,2000,4
TAN,2004,9
BUL,2006,44
TKM,2012,10
BER,1996,10
AUS,2002,41
CAN,1912,60
CAN,1920,85
LCA,2008,4
LCA,2012,4
AUS,1920,29
YUG,1936,24
BOL,1988,5
COL,2000,54
LIB,1948,9
BOH,1908,142
BIH,1998,12
BIH,2002,4
LIE,1968,3
LIE,1948,16
LIE,1956,14
LIE,1976,9
LIE,1988,36
NED,2002,49
NED,1908,218
NZL,2006,18
JAM,1948,26
BAR,2016,13
TCH,1980,74
TCH,1984,79
COK,2016,9
GEO,2008,38
MRI,1996,36
ISV,2000,12
NED,1920,213
ALB,2008,12
ALB,2012,10
ARG,1994,20
TUN,1972,37
TCH,1936,61
BOL,1984,5
AHO,1984,13
YUG,1956,36
GBR,1994,51
RSA,1920,97
ISR,2002,7
BIZ,1988,13
HON,1992,27
IRL,2014,8
NZL,1998,9
ISV,1996,14
SLE,2000,3
LAT,2000,60
BER,1936,9
BER,1968,6
BER,1976,20
CGO,1984,13
CGO,1988,10
TUN,1992,15
ARG,1952,21
MLT,1936,11
HUN,2010,32
YUG,1988,49
ISL,1960,10
ISL,1964,5
ISL,1968,16
HON,2012,25
NAM,1996,10
ESA,1996,10
GUM,1996,9
SLE,1984,10
ANT,1984,27
WIF,1960,20
RSA,1936,54
FIJ,1956,5
ALG,2006,3
YUG,1972,31
HUN,2014,37
HUN,1952,21
HUN,1992,62
HUN,1994,28
SLO,1992,47
NED,2014,82
LAT,1996,55
BEL,2004,70
FIN,1964,87
PAR,1984,18
IRL,1992,78
SAM,2012,9
ROU,1928,10
POR,1924,47
AND,2000,5
AND,2004,6
AND,2008,5
AND,2012,6
VEN,1956,6
GRN,2012,8
POR,1988,8
ITA,1928,16
MON,2000,4
ISV,1984,52
DOM,1972,5
PER,1932,3
SMR,1988,6
HAI,2004,8
YUG,1948,30
YUG,1928,8
AND,1992,8
MON,1992,4
MON,1994,7
MON,1998,6
HUN,1948,43
CUB,1964,76
SUI,1900,52
NED,1906,49
AUT,1960,42
MAD,1984,5
MLT,2016,8
MLT,1972,5
NEP,2016,7
SWZ,2000,6
BUR,1972,1
DEN,1998,19
DEN,2002,11
POL,2010,106
POL,1960,28
AUT,2006,132
GER,1952,77
AUS,1988,36
CAF,1996,5
TCH,1928,28
NBO,1956,11
SGP,1952,7
BRA,2014,17
GAB,2004,5
CGO,1992,10
BDI,2012,6
ROU,1948,14
LBR,1988,11
GBR,1928,39
TUR,1984,11
YUG,1952,9
ALB,1992,9
ZIM,1928,2
ARU,2000,5
ARU,2004,4
ALB,1996,9
MDA,2000,35
MDA,2004,33
SRI,1996,11
ANG,1996,30
ITA,1904,1
ISL,1952,18
SRB,2008,97
ISL,2002,12
ISL,2006,12
ISL,2010,7
ISL,1992,15
ZIM,1996,21
ZIM,2000,26
NZL,1932,29
TPE,2014,5
NED,1936,19
USA,1896,27
JAM,1992,51
BEL,1972,3
BEL,1976,11
BEL,1992,7
BEL,1994,8
CRC,2000,9
PER,2004,14
GUA,2000,18
MKD,2012,4
SUR,1972,3
URU,1956,29
NED,1900,73
NED,2010,65
NED,1912,45
SWE,1900,27
FIN,1932,12
FIN,1936,36
LIE,1992,16
LIE,1996,2
ISV,1968,6
ANZ,1912,38
AUS,1928,29
POL,1980,39
GUA,1996,28
VEN,1998,1
VEN,2002,4
POL,1994,59
AUT,1932,33
SLE,2008,3
LUX,2008,19
GER,1896,94
AUT,1928,49
PAN,2008,5
CAY,1984,14
TOG,1984,6
RSA,1912,56
POL,2006,91
AHO,1988,4
PAR,1988,13
NEP,1996,6
FIJ,1992,36
IRL,1980,57
NEP,2000,5
CHI,1960,12
CHI,1964,16
PNG,2000,5
PNG,2004,6
PNG,2008,9
KEN,1998,1
KEN,2002,2
KEN,2006,1
SLO,1998,69
SLO,2002,96
INA,1960,27
TTO,1992,13
MGL,2014,2
FIJ,1996,21
VEN,1988,17
GEO,2012,36
SRI,1984,6
SRI,1988,9
SMR,1984,6
SMR,1984,31
LUX,1976,9
FSM,2004,5
GRE,1956,6
MLT,1928,9
MLT,1996,10
IOA,2012,4
STP,2008,4
STP,2016,3
CAF,2008,3
SEY,1984,15
GDR,1968,85
THA,2004,51
THA,1992,64
NED,1984,29
TJK,1996,8
GEQ,1984,5
GEQ,1988,7
MLT,1960,13
MLT,2012,5
ISL,1980,22
KGZ,2006,2
EST,2006,63
NED,1998,48
NED,2006,63
ESP,1992,45
MKD,1996,16
MKD,2000,15
CAF,2012,6
RSA,2006,9
MON,2006,10
SUR,1976,4
GAB,1992,5
CGO,2016,10
GAB,1988,2
CAF,2016,6
ALG,1992,8
TOG,2004,3
TOG,2008,4
GAB,1996,9
LAO,1980,19
SEN,2016,22
GAB,2000,6
AHO,1964,4
SGP,2000,23
SGP,2004,22
BEL,1964,11
VEN,1964,23
VEN,1968,30
PER,2016,34
SLO,2008,73
TUR,1948,10
AZE,2014,4
GER,1904,55
BRA,1924,18
MDA,2008,30
LUX,1980,4
NCA,2012,6
NZL,2010,22
NRU,2016,2
IRL,2000,76
FIN,1924,33
ROU,1972,23
UZB,1994,7
CRC,1996,13
CRC,2008,8
MNE,2008,20
MDA,2006,10
JAM,1964,32
AHO,1952,11
CRO,2014,25
PHI,1996,18
PHI,2000,22
PHI,2004,21
URU,2008,13
GRN,1996,5
NED,1948,15
NED,1952,23
NED,1956,16
NED,1960,13
BER,1992,29
BER,2000,7
POL,1948,44
JAM,1968,35
COK,2012,9
ASA,1992,3
ASA,1996,7
JAM,2002,2
ANT,1988,25
CRO,2010,37
PNG,1984,12
GBS,2016,5
TCH,1960,22
SMR,2008,4
LIE,1960,8
LIE,1964,9
LIE,1936,4
LIE,1948,2
LIE,1984,8
LIE,1992,18
LIE,1994,25
LIE,1998,19
LIE,2002,18
LIE,2006,12
LIE,2010,5
SUI,1956,76
MRI,2004,9
MDA,1998,4
MDA,2002,9
LAO,2016,5
ROU,1936,22
LIE,1972,10
VNM,1968,9
POL,1924,15
IND,1964,1
IND,1968,27
MNE,2014,3
FIJ,2004,9
FIJ,2008,6
SRI,1964,7
LTU,1928,4
SRB,2014,17
NEP,1924,1
BER,2012,8
GUA,1972,11
BIH,1992,13
BER,1984,13
AUS,1976,19
EST,1928,6
GUY,2004,4
GUY,2008,4
BAR,1968,13
IRL,1976,59
IRL,1988,78
TAN,1992,9
PUR,2000,38
RWA,1984,6
ZAM,1992,11
ZAM,2008,8
ZAM,1988,33
ZAM,2000,8
ISR,2014,6
RWA,2016,7
ANG,1980,17
TLS,2016,3
DOM,2000,13
ECU,1992,15
BAN,2012,7
CHN,1988,70
SGP,2008,36
CHN,2010,127
ECU,1996,28
ARG,1998,6
ECU,2004,18
BOL,1996,9
BOL,2008,7
ALB,2016,6
BAH,1976,19
FRA,1896,26
LUX,2012,11
MON,2002,7
BOL,2000,5
MOZ,2008,4
MOZ,2012,6
MLI,1996,4
MTN,2008,2
SEN,1968,24
MLI,1972,3
MLI,2000,5
MLI,2012,6
MLI,1988,8
MLI,1964,2
ZIM,1980,52
MDA,2014,5
CAN,1924,17
ARG,1900,1
PAN,1960,8
PAN,1964,15
AUS,1992,41
ISV,2014,2
ESA,1984,15
ESP,1900,12
ESP,1936,6
POR,1920,40
CHI,1976,11
PAR,2000,5
VIE,1996,6
SUI,1932,12
GBS,2004,3
ANG,1992,33
GEQ,2004,2
CRC,1984,7
PER,2010,5
PER,2014,5
SMR,1988,12
SMR,2006,1
SMR,2010,1
PER,1976,14
GUY,1992,7
DEN,1968,6
DEN,1964,5
LUX,2016,15
IRL,1952,25
AHO,1992,4
MEX,2002,3
ESP,2014,39
NCA,1972,10
PAN,2012,8
DOM,1968,24
NZL,1948,8
MLT,1992,8
CUB,1904,6
SMR,1980,16
SMR,1960,13
SMR,1972,7
MEX,1928,5
IRL,1984,55
ITA,1932,20
BEL,1952,15
BEL,1956,6
HON,2000,20
ESP,2010,35
HAI,2016,10
BOL,2016,12
HKG,1964,50
DOM,1980,7
HAI,1928,3
HAI,1932,3
FIN,2016,67
GAM,1984,16
LAT,2004,45
NCA,1984,5
ARG,1948,20
PRK,2000,47
NZL,1960,12
SGP,1956,52
HKG,1996,32
ISR,1998,3
ISR,2006,6
ECU,1988,15
CRC,1972,4
LIB,2014,3
HKG,2004,42
HKG,1976,50
TPE,1960,31
TPE,2016,67
TPE,1968,93
HKG,2000,46
HKG,1972,18
SGP,1972,12
CAM,2012,6
TPE,2000,75
TPE,2008,92
MAW,2008,4
INA,2008,26
TPE,1988,20
TPE,1992,123
TPE,2012,55
CHN,1948,33
TPE,2004,104
TPE,1964,96
TPE,1984,52
TPE,1984,20
TPE,1998,9
TPE,1992,11
TPE,1994,2
KOR,1972,11
TPE,1972,44
PRK,1992,36
PRK,1980,121
THA,1988,15
HAI,1976,14
HAI,1972,7
DJI,1984,3
THA,1996,58
VNM,1952,13
BIZ,1984,13
BIZ,1992,18
GUY,1948,7
PAN,1952,1
SGP,1976,4
TTO,1988,10
TPE,2002,6
TPE,1988,22
CHN,1992,74
CHN,1994,43
TPE,1956,23
TPE,1972,9
TPE,1976,11
SGP,2012,36
HKG,1984,87
GRN,2016,6
MYA,2000,7
UZB,1998,4
ARM,1998,7
HKG,1952,9
HKG,1956,4
HKG,1960,4
CAM,1972,17
BHU,1984,6
URU,1992,18
JPN,1984,75
ZAM,2004,6
BOT,1980,8
LIB,1952,9
TAN,1968,5
ZAM,1972,12
MAW,2000,2
MAW,2004,4
ZIM,1992,28
LAO,2008,4
ZAM,1984,18
MAW,1972,18
ZAM,2016,7
ZIM,1984,20
MAW,2016,5
MOZ,1984,14
GUM,2000,7
BHU,2012,2
BHU,2000,2
BHU,2004,2
PRK,2016,38
PRK,1996,36
PRK,2004,71
KOR,1952,22
PRK,1972,10
KOR,2014,130
KOR,1964,16
KOR,1960,20
KOR,1948,7
ZAM,1996,8
MRI,1988,11
ZAM,2012,7
LIB,1996,1
CAM,2016,6
MYA,1960,10
ANT,1976,17
VIE,2012,24
SGP,1968,6
VIE,1980,38
KGZ,2002,4
LUX,1936,129
AUT,1984,105
THA,2000,68
YUG,1920,15
PHI,1972,4
SEN,2000,32
CRO,1992,8
MRI,1992,22
BRA,2010,7
BAR,1976,17
BAH,1984,31
BAH,1996,36
LUX,1992,11
ISV,2016,7
GBR,1960,39
GRE,1932,16
HAI,2000,5
NZL,1928,13
AUS,1972,12
IVB,2000,1
BEL,1906,31
PNG,1976,9
GUM,2004,4
NZL,1992,10
NZL,1994,16
DEN,1948,2
DEN,1952,1
SLE,1968,4
MON,2010,6
ALB,2004,7
URU,2004,18
GAM,2012,2
BAH,1964,12
IRL,1932,18
GRN,1988,7
SKN,2004,2
SKN,2008,6
EGY,1906,5
CAF,2000,3
IRL,2006,5
BOL,1936,2
SGP,1960,5
SRI,1960,5
VIN,1992,8
BAH,1988,18
LBR,2000,10
BER,1964,4
ZIM,1960,10
HKG,1968,25
LBR,1996,7
SRI,2004,8
SRI,2012,8
PAN,2004,5
FRA,1904,2
POR,1912,8
HAI,1900,4
BIH,2006,9
NZL,2002,16
MLI,2016,6
MLI,1992,6
BEL,1984,9
MOZ,2004,4
ZIM,2012,9
IVB,2004,1
SMR,1994,3
MHL,2016,5
MHL,2008,5
ROU,1932,2
IVB,2014,1
MON,2016,8
SUR,1984,7
CPV,2008,2
PUR,1956,14
NCA,2000,6
CUB,1932,3
BAR,1996,22
POL,1932,22
POL,1936,32
STP,2012,2
STP,2004,2
PAR,1968,1
GBS,2008,3
GBS,2012,4
SUR,2004,4
NIG,1964,1
NIG,1968,2
NIG,1972,4
NZL,1988,19
AFG,1988,5
NAM,1992,10
KUW,1968,2
GBR,1904,6
MGL,1988,9
GAM,1988,6
MKD,2006,5
MKD,2010,4
MKD,2014,6
BEN,2000,4
HUN,1896,18
FSM,2008,5
FSM,2012,6
LBR,1984,10
GRE,2010,12
BEN,2008,5
MGL,1972,8
AHO,1996,7
AHO,2000,8
HUN,2006,32
BER,1960,9
VAN,1988,6
AHO,2008,4
KIR,2012,3
NZL,1920,6
BAH,1992,18
BAN,1984,2
VIE,1988,12
VIE,1992,10
NED,1964,12
PER,1900,2
BEL,2002,13
BEL,2006,8
SUI,1932,43
POR,1932,8
VEN,1992,27
BOL,2004,11
CRC,1936,1
BEL,1932,5
COL,1932,2
ARG,1928,10
ESA,1932,4
HUN,1904,9
RUS,1900,5
LUX,2004,14
SRI,1948,10
GUA,1980,10
VIN,2004,3
ARG,1976,16
NED,1928,11
ECU,1976,8
COL,1936,6
CAN,1928,31
BUL,1948,9
ECU,1972,4
BIH,1996,12
BHU,2008,2
TUR,1960,6
COL,2010,2
INA,1968,6
HAI,2012,5
NRU,2004,3
NRU,2008,1
NRU,2012,2
NRU,1996,3
HUN,1924,6
SRI,1980,4
NEP,2012,5
DMA,2014,1
SEN,1996,12
SEN,1964,14
GUI,1984,1
GUI,1996,5
MTN,1984,2
POR,2014,4
GUY,1964,1
MON,1996,4
MON,2004,3
MON,2008,5
GUI,2004,4
PAN,1988,9
CIV,1968,11
BLR,1994,74
MTN,2000,2
ESA,2000,10
ESA,2004,9
GRE,1904,17
GRE,2006,8
BUL,1960,15
MKD,1998,3
MKD,2002,4
PLW,2016,6
MLI,1980,7
MLI,1984,5
ARU,1992,5
ARU,1996,3
RWA,2004,5
RWA,2008,4
BOT,1992,6
JAM,2014,2
COM,2004,3
CHA,1984,3
SWZ,2004,3
SWZ,2008,4
SWZ,1992,10
SWZ,1984,11
SWZ,1988,15
CPV,2000,2
TJK,2000,4
SLE,1988,20
AND,1976,74
CHI,1948,11
MGL,1984,12
IRL,1998,10
IRL,2002,9
SUI,1912,7
BHU,1988,6
MGL,1980,10
AFG,1960,16
URU,1932,6
GUY,1996,9
LUX,1996,7
SLO,1994,59
VIE,2016,28
VIE,2008,18
VIE,2004,11
SCG,1998,2
SCG,2002,8
UGA,1968,14
GAM,1996,12
LTU,1992,13
LTU,1994,13
LTU,2006,14
CRO,2002,29
TJK,2002,2
TJK,2006,3
TJK,2010,4
CHI,1976,13
RSA,1908,33
BER,2016,8
DEN,2006,4
URU,1984,23
DMA,2016,2
ISV,2004,9
RWA,1988,8
RUS,1908,7
RSA,1960,4
UNK,1912,272
VEN,1932,1
BOH,1906,142
ISL,1956,24
ISL,1960,11
EST,2010,64
FIN,1968,95
