NOC,Year,Ath_Cnt
FRA,1998,159
BRA,2016,583
UKR,2002,111
UKR,2006,109
UKR,2010,95
GBR,1928,354
GBR,1936,250
USA,1932,743
NED,1976,175
GHA,1996,40
SOM,1972,4
LAT,1998,49
LAT,2014,82
AUS,2016,518
ESP,1988,29
LIB,1968,15
LIB,1972,36
SYR,2000,8
MAR,2000,55
NIG,1988,6
LBA,1988,7
ALG,1984,33
IRQ,1984,25
EGY,1968,35
LIB,1992,8
MLI,2004,21
AFG,1956,12
USA,1996,839
GER,1912,312
ROU,1936,118
HUN,1988,16
GER,1906,157
GBR,1976,71
GBR,1980,353
CHI,2016,47
SUI,2016,152
IND,1984,53
IND,1988,55
IND,1992,61
IND,1996,54
POL,1980,286
SWE,2000,198
SWE,2004,157
SWE,2008,169
FRA,1968,311
CRC,1984,32
PAN,1976,13
GBR,1920,345
GBR,1924,428
GBR,1906,113
GBR,1912,461
NOR,1988,115
NOR,1980,100
USA,1984,693
USA,1972,578
USA,1976,554
SWE,1972,101
SWE,1920,404
SWE,1960,258
SWE,1964,175
SWE,1928,30
GEO,2006,4
GEO,2010,9
GEO,2014,7
BLR,2016,142
UKR,2014,101
BLR,2010,95
BLR,2014,72
MAR,1992,45
GEO,1996,42
SLO,1996,47
GEO,1994,7
GEO,1998,6
URS,1960,414
RUS,1994,208
RUS,2006,283
RUS,2010,279
CRO,2006,46
GUY,2016,7
GUY,1988,8
NZL,1956,57
NZL,1960,47
GEO,2016,45
POR,1988,48
POR,1992,115
POR,1996,131
POR,2008,87
POR,2012,98
FRA,1996,453
BUL,1994,38
SUI,2012,126
GER,1994,184
POL,1992,263
POL,1998,79
POL,2002,54
POR,2016,106
CUB,1976,194
BRA,2004,318
POR,1968,33
PAR,1976,6
ANG,2008,33
BRA,1984,197
CUB,1980,288
VEN,1996,53
POR,1976,36
POR,1980,18
FRA,1988,413
COL,2012,120
COL,2016,157
DJI,2016,8
RUS,2000,602
ROU,1952,241
ETH,2012,34
USA,1988,156
GER,2002,259
FRG,1988,120
RUS,2002,240
IRI,2008,55
BAN,2008,5
JOR,2012,9
JOR,2016,8
PLE,1996,1
PLE,2012,5
JOR,2000,8
JOR,2004,8
KAZ,1996,142
SUD,2004,4
PLE,2004,3
CHN,2000,414
KEN,1988,88
NGR,2008,89
PER,1968,33
PER,1964,40
LBA,2004,8
SOM,2004,2
JPN,1964,73
PLE,2016,6
KSA,2016,11
MEX,1996,111
KUW,1984,31
MEX,2004,137
URS,1976,118
KAZ,2012,132
JOR,1988,9
TUR,1968,30
TUR,1948,87
TUR,1952,58
FRA,1972,356
ROU,2008,172
ITA,1948,310
SUI,1994,106
SUI,1998,118
SUI,1988,126
SUI,1992,129
SUI,2002,167
ITA,1908,97
CHI,1948,72
ESP,1920,111
CHI,1960,9
URU,1988,18
ESA,1968,104
PUR,1992,56
COL,1992,61
COL,1972,75
PER,1972,31
VEN,2008,126
MEX,1984,155
GBR,1968,328
GBR,1972,433
PHI,1960,49
IND,2004,81
IND,2008,67
IND,2016,130
GBR,2012,684
FRA,1948,60
GER,2000,567
GHA,1964,40
GHA,2016,15
GHA,1992,41
SUI,1984,245
LIB,2010,6
UGA,1984,30
MAR,1988,29
MAR,1996,38
GBR,2000,415
GBR,2008,420
FRA,1900,1071
FRA,1924,636
ROU,2014,40
URS,1964,107
URS,1968,121
UGA,2012,16
UGA,1996,12
UGA,2000,13
TUN,2008,29
TUN,2012,87
BEL,1956,15
BEL,1960,150
NED,2012,222
CMR,1988,21
AUS,1956,19
CIV,1964,10
UGA,1988,30
BRA,1988,233
BEL,1924,234
NZL,1976,98
USA,1920,473
GBR,2004,360
GER,1996,626
GER,1998,217
GER,2006,263
NED,1968,158
BEL,1932,26
